Course,CourseTitle,CRN,CourseDates,CourseDays,CourseTimes,Room,CreditHours,Enrolled,AvailableSeats,MaxSeats,ScheduleType,InstructionalMethod,Campus,Instructor,Comments,LACCategory,CourseMaterialType,CourseMaterialCost
STAT150-206,MA1-Intro Statist Analysis,20806,01/09/2023 05/07/2023,M W F,12:20pm-1:10pm,Ross Hall 2090,3,0,35,35,Lecture,Face to Face,Main Campus,Melanie Merchant,ASRM,"LAX1, LC2",,
STAT150-207,MA1-Intro Statist Analysis,20829,01/09/2023 05/07/2023,M W F,3:35pm-4:25pm,Ross Hall 2270,3,0,20,20,Lecture,Face to Face,Main Campus,Samantha Renner,ASRM,"LAX1, LC2",,
STAT150-216,MA1-Intro Statist Analysis,22005,01/09/2023 05/07/2023,T R,12:30pm-1:45pm,Ross Hall 2270,3,0,36,36,Lecture,Face to Face,Main Campus,Lynda Aouar,ASRM MATH,"LAX1, LC2",,
STAT150-223,MA1-Intro Statist Analysis,20804,01/09/2023 05/07/2023,M W F,9:05am-9:55am,Candelaria Hall 1065,3,0,35,35,Lecture,Face to Face,Main Campus,Nirajan Bam,ASRM,"LAX1, LC2",,
STAT150-235,MA1-Intro Statist Analysis,21873,01/09/2023 05/07/2023,M W F,11:15am-12:05pm,Candelaria Hall 2345,3,0,35,35,Lecture,Face to Face,Main Campus,Aida Popa,ASRM,"LAX1, LC2",,
STAT250-005,MA1-Stat for Life Sciences,22609,01/09/2023 05/07/2023,T R,11:00am-12:15pm,Ross Hall 2275,3,0,30,30,Lecture,Face to Face,Main Campus,Nancy Geisendorfer,,"LAX1, LC2",,
STAT411-001,Fund of Data Science,24154,01/09/2023 05/07/2023,T R,12:30pm-1:45pm,Ross Hall 2060,3,0,30,30,Lecture,Face to Face,Main Campus,Christopher Harris,,,,
STEP161-001,Obser/Analysis Sec Tchg Sci,22284,01/09/2023 05/07/2023,T,5:00pm-7:00pm,McKee 0254,2,0,0,0,Student Classroom Observation,Internship/Practica,Main Campus,,,,,
STEP161-002,Obser/Analysis Sec Tchg Eng,22285,01/09/2023 05/07/2023,T,5:00pm-7:00pm,McKee 0146,2,0,0,0,Student Classroom Observation,Internship/Practica,Main Campus,,,,,
STEP161-003,Obser/Analysis Sec Tchg Soc,22286,01/09/2023 05/07/2023,T,5:00pm-7:00pm,McKee 0145,2,0,0,0,Student Classroom Observation,Internship/Practica,Main Campus,,,,,
STEP262-001,Analysis/Obser Sec Tchg II Sci,22289,01/09/2023 05/07/2023,T,5:00pm-7:00pm,McKee 0228,2,0,25,25,Student Classroom Observation,Internship/Practica,Main Campus,,,,,
STEP262-002,Analysis/Obser Sec Tchg II Soc,22291,01/09/2023 05/07/2023,T,5:00pm-7:00pm,McKee 0253,2,0,25,25,Student Classroom Observation,Internship/Practica,Main Campus,,,,,
STEP262-003,Analysis/Obser Sec Tchg II Mat,22292,01/09/2023 05/07/2023,T,5:00pm-7:00pm,Ross Hall 2060,2,0,25,25,Student Classroom Observation,Internship/Practica,Main Campus,,,,,
STEP363-001,Clinical Exp Sec Tchg Sci,22294,01/09/2023 05/07/2023,T,5:00pm-7:00pm,McKee 0223,2,0,0,0,Practicum/Clinical,Internship/Practica,Main Campus,,,,,
STEP363-002,Clinical Exp Sec Tchg Eng,22295,01/09/2023 05/07/2023,T,5:00pm-7:00pm,McKee 0230,2,0,0,0,Practicum/Clinical,Internship/Practica,Main Campus,,,,,
STEP363-003,Clinical Exp Sec Tchg Soc,22296,01/09/2023 05/07/2023,T,5:00pm-7:00pm,McKee 0229,2,0,0,0,Practicum/Clinical,Internship/Practica,Main Campus,,,,,
THEA100-190,Ind Perf in Theatre,20740,01/09/2023 05/07/2023,TBA,TBA,TBA,2,0,90,90,Laboratory,Face to Face,Main Campus,Mary Houston,,,,
THEA110-140,Performance in Thea Prod,21141,01/09/2023 05/07/2023,TBA,TBA,Arranged,2,0,10,10,Studio Art/Music/Theatre,Face to Face,Main Campus,Michelle Gaza,,,,
THEA110-160,Performance in Thea Prod,21142,01/09/2023 05/07/2023,TBA,TBA,Arranged,2,0,15,15,Studio Art/Music/Theatre,Face to Face,Main Campus,Randall Harmon,,,,
THEA135-005,Playscript Analysis,20448,01/09/2023 05/07/2023,M W F,11:15am-12:05pm,Frasier Hall 0249,3,0,60,60,Lecture,Face to Face,Main Campus,,,,,
THEA150-008,Actor's Lab,20460,01/09/2023 05/07/2023,M W F,2:30pm-3:20pm,Crabbe 0302,1,0,20,20,Laboratory,Face to Face,Main Campus,Randall Harmon,,,,
THEA170-003,Acting II,24488,01/09/2023 05/07/2023,M W,2:00pm-3:15pm,Crabbe 0304,3,0,20,20,Lecture,Face to Face,Main Campus,Joshua Chenard,,,,
THEA170-007,Acting II,24489,01/09/2023 05/07/2023,M W,9:45am-11:00am,Gray Hall 1305,3,0,20,20,Lecture,Face to Face,Main Campus,Joshua Chenard,,,,
THEA190-005,Stage Speech,20911,01/09/2023 05/07/2023,M W,12:30pm-1:20pm,Crabbe 0304,2,0,28,28,Lecture,Face to Face,Main Campus,,,,,
THEA194-004,Intermediate Voice & Speech,21972,01/09/2023 05/07/2023,T R,9:30am-10:45am,Gray Hall 1305,3,0,20,20,Lecture,Face to Face,Main Campus,Miranda Guettlein,,,,
THEA210-005,Drafting for Theatre,20924,01/09/2023 05/07/2023,T R,11:00am-12:15pm,Frasier Hall 0011,3,0,15,15,Lecture,Face to Face,Main Campus,Mary Houston,,,,
THEA220-003,Beginning Costume Design,20795,01/09/2023 05/07/2023,T R,9:30am-10:45am,Frasier Hall 0161,3,0,15,15,Lecture,Face to Face,Main Campus,Anne Toewe,,,,
THEA232-010,Lighting Technology,20482,01/09/2023 05/07/2023,T R,2:00pm-3:15pm,Frasier Hall 0011,3,0,14,14,Lecture,Face to Face,Main Campus,Zach Hamersley,,,,
THEA240-005,Beginning Stage Directing,21138,01/09/2023 05/07/2023,M W F,10:10am-11:00am,Frasier Hall 0205,2,0,20,20,Lecture,Face to Face,Main Campus,John Leonard,,,,
THEA240-007,Beginning Stage Directing,20399,01/09/2023 05/07/2023,M W,1:25pm-2:15pm,Frasier Hall 0005,2,0,18,18,Lecture,Face to Face,Main Campus,Randall Harmon,,,,
THEA240-105,Beginning Stage Directing,21139,01/09/2023 05/07/2023,TBA,TBA,Arranged,1,0,20,20,Laboratory,Mixed Face to Face,Main Campus,John Leonard,,,,
THEA240-107,Beginning Stage Directing,20398,01/09/2023 05/07/2023,M W F,2:30pm-3:20pm,Frasier Hall 0005,1,0,18,18,Laboratory,Face to Face,Main Campus,Randall Harmon,,,,
THEA241-007,Thea Arts Management,21143,01/09/2023 05/07/2023,T R,3:30pm-4:45pm,Crabbe 0306,3,0,22,22,Seminar,Face to Face,Main Campus,,,,,
THEA245-003,Beginning Sound Design,21385,01/09/2023 05/07/2023,T R,11:00am-12:15pm,Frasier Hall 0161,3,0,10,10,Lecture,Face to Face,Main Campus,Brian Hapcic,,,,
THEA249-009,Scenic Technology,22401,01/09/2023 05/07/2023,T R,8:00am-9:15am,Frasier Hall 0011,3,0,12,12,Lecture,Face to Face,Main Campus,Ashley Fant,,,,
THEA260-008,Scene Study,20496,01/09/2023 05/07/2023,T R,2:00pm-3:15pm,Gray Hall 0000,3,0,20,20,Lecture,Face to Face,Main Campus,Joshua Chenard,,,,
THEA265-002,Thea for Young Aud Tour,20525,01/09/2023 05/07/2023,T R,9:30am-10:45am,Crabbe 0304,3,0,15,15,Studio Art/Music/Theatre,Face to Face,Main Campus,Gillian McNally,,,,
